Subject,Business Scenario,Environment,Test Phase,Test Type,Test Case id,Test Case Description,Test Objective,Pre - Condition,Test Data,Description (design steps),Expected Result,Actual Result,Priority
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Negative,OOB_0001_04_Step 1,0,Open one of the  Arrangement and change auto generated account number,"CIF Number
Acc Off Code
CCY

",0,"Input CIF, CCY
",System should not allow to modify account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Negative,OOB_0001_04_Step 2,0,Open one of the  Arrangement and change auto generated account number,"CIF Number
Acc Off Code
CCY

",0,Verify,System should not allow to modify account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Negative,OOB_0001_04_Step 3,0,Open one of the  Arrangement and change auto generated account number,"CIF Number
Acc Off Code
CCY

",0,"input Account office ,Change account number,",System should not allow to modify account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Negative,OOB_0001_04_Step 4,0,Open one of the  Arrangement and change auto generated account number,"CIF Number
Acc Off Code
CCY

",0,Verify and commit,System should not allow to modify account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Positive,OOB_0001_05_Step 1,0,Open one of the  Arrangement and change account number with already used account number,"CIF Number
Already use Account no",0,"Input CIF, CCY
",System should not allow to use already assigned account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Positive,OOB_0001_05_Step 2,0,Open one of the  Arrangement and change account number with already used account number,"CIF Number
Already use Account no",0,Verify,System should not allow to use already assigned account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Positive,OOB_0001_05_Step 3,0,Open one of the  Arrangement and change account number with already used account number,"CIF Number
Already use Account no",0,"input Account office ,Change account number,",System should not allow to use already assigned account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Positive,OOB_0001_05_Step 4,0,Open one of the  Arrangement and change account number with already used account number,"CIF Number
Already use Account no",0,Verify and commit,System should not allow to use already assigned account number,0.0,0.0
Functional Testing\OOB\0001,Check Auto Account Number with check digit,T24Qa1,Functional Testing,Positive,OOB_0001_05_Step 4,0,Open one of the  Arrangement and change account number with already used account number,"CIF Number
Already use Account no",0,Verify and commit,System should not allow to use already assigned account number,0.0,0.0
Functional Testing\OOB\0008,Ability to generate output (forms for client signature) based on account opening process,T24Qa1,Functional Testing,Positive,OOB_0008_01_Step 1,Verify that saved client account info is available for output,Ensure that captured client data is available for print solution,"CIF, Arrangement setup","CIF ID=
AA ID=",Open Account - enter client data for output  - forms,System should be able to present data to print solution,0.0,0.0
Functional Testing\OOB\0013,Keep track of interventions with clients  ,T24Qa1,Functional Testing,Positive,OOB_0013_01_Step 1,Verify customer interaction are noted and saved,Ensure customer interaction notes are saved,Customer profile setup with notes field,CIF ID=,Open CIF - enter notes for client interaction and save,System should allow a history of client interaction ,0.0,0.0
Functional Testing\OOB\0014,View history of all client contact management activities on account ,T24Qa1,Functional Testing,Positive,OOB_0014_01_Step 1,Verify retention of customer contact notes and activities,Ensure customer interaction notes are saved,Customer profile setup with notes field,CIF ID=,Open CIF - enter notes for client interaction and save,System should allow a history of client interaction ,0.0,0.0
Functional Testing\OOB\0021,Process automatic GL transactions according to defined financial transactions on accounts,T24Qa1,Functional Testing,Positive,OOB_0021_01_Step 1,Verify auto posting of GL entries for interest accrued on loan,Ensure auto posting of GL entries for interest accrued on loan,Transaction codes defined for loan products,CIF ID=,Update Loan Arrangment with a fin transaction - verify GL entries,System should charge interest as per product - and auto post to GL,0.0,0.0
Functional Testing\OOB\0021,Process automatic GL transactions according to defined financial transactions on accounts,T24Qa1,Functional Testing,Positive,OOB_0021_02_Step 1,Verify auto posting of GL entries for fees and or charges on loan,Ensure auto posting of GL entries for fees and or charges on loan,Transaction codes defined for loan products,CIF ID=,Update Loan Arrangment with a fin trancaction - verify GL entries,System should charge fee  as per product - and auto post to GL,0.0,0.0
Functional Testing\OOB\0022,Automatically Reconcile General Ledger according to multiple frequencies,T24Qa1,Functional Testing,Positive,OOB_0022_01_Step 1,Verify auto reconcilliation of GL entries on a daily frequency,Ensure auto reconcilliation of GL entries on a daily basis,Transaction/Product codes and internal accounts defined ,"Product Code =
Transaction Type =
Transaction Code =",Enter defined product and transaction parameters -Run GL enquiry - ,System should display GL reconcilliation based on defined parameters,0.0,0.0
Functional Testing\OOB\0022,Automatically Reconcile General Ledger according to multiple frequencies,T24Qa1,Functional Testing,Positive,OOB_0022_02_Step 1,Verify auto reconcilliation of GL entries on a monthly frequency,Ensure auto reconcilliation of GL entries on a monthly basis,Transaction/Product codes and internal accounts defined ,"Product Code =
Transaction Type =
Transaction Code =",Enter defined product and transaction parameters -Run GL enquiry - ,System should display GL reconcilliation based on defined parameters,0.0,0.0
Functional Testing\OOB\0024,Link General Ledger entry to source transactions,T24Qa1,Functional Testing,Positive,OOB_0024_01_Step 1,Verify GL entries are linked to source transactions,Ensure GL entries are linked to source transactions,Transaction/Product codes and internal accounts defined ,"Product Code =
Transaction Type =
Transaction Code =",report based on RE.STAT.REP.LINE,System should display report based on defined parameters,0.0,0.0
